Days Rest,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
2017-18 ,23,48.0,104.5,14,9,.609,39.6,86.1,46.0,11.0,29.1,37.8,14.3,19.1,75.0,10.1,31.8,42.0,22.4,14.8,8.0,3.4,19.7,1.8
Home ,10,48.0,107.9,8,2,.800,40.8,85.5,47.7,11.5,28.3,40.6,14.8,20.4,72.5,9.6,34.4,44.0,24.5,14.8,7.6,3.8,19.2,6.9
Road ,13,48.0,101.8,6,7,.462,38.6,86.5,44.6,10.6,29.7,35.8,14.0,18.2,77.1,10.5,29.8,40.4,20.8,14.8,8.4,3.2,20.2,-2.1
Wins ,14,48.0,110.2,14,0,1.000,41.9,86.9,48.2,11.4,28.2,40.3,15.1,19.8,76.5,10.8,33.3,44.1,24.3,14.9,8.6,3.6,18.8,10.1
Losses ,9,48.0,95.6,0,9,.000,36.0,84.8,42.5,10.4,30.4,34.3,13.1,18.1,72.4,9.1,29.6,38.7,19.4,14.8,7.2,3.1,21.2,-11.1
October ,8,48.0,104.4,5,3,.625,41.1,90.8,45.3,10.0,28.9,34.6,12.1,15.5,78.2,11.8,30.8,42.5,21.1,13.8,9.6,2.5,20.1,2.3
November ,12,48.0,106.8,9,3,.750,39.8,84.3,47.1,12.3,29.2,42.0,15.0,20.1,74.7,10.1,32.8,42.9,24.3,15.6,7.1,4.2,18.6,4.2
December ,3,48.0,95.7,0,3,.000,34.7,80.7,43.0,8.7,29.3,29.5,17.7,25.0,70.7,6.0,30.7,36.7,18.3,14.7,7.7,3.0,23.3,-8.7
Pre All-Star ,23,48.0,104.5,14,9,.609,39.6,86.1,46.0,11.0,29.1,37.8,14.3,19.1,75.0,10.1,31.8,42.0,22.4,14.8,8.0,3.4,19.7,1.8
0 Days Rest ,5,48.0,105.0,3,2,.600,39.0,83.6,46.7,11.2,28.4,39.4,15.8,19.8,79.8,10.8,26.2,37.0,22.8,15.0,9.2,1.8,19.8,-2.4
1 Days Rest ,11,48.0,104.5,5,6,.455,40.5,87.5,46.2,10.8,29.2,37.1,12.8,18.2,70.5,10.0,32.4,42.4,22.2,15.0,7.3,3.8,20.5,0.1
2 Days Rest ,4,48.0,103.3,3,1,.750,36.8,84.0,43.8,10.8,29.0,37.1,19.0,23.8,80.0,11.0,32.5,43.5,21.5,13.3,9.0,3.8,17.5,5.8
3 Days Rest ,2,48.0,106.5,2,0,1.000,41.0,83.5,49.1,13.0,32.0,40.6,11.5,17.0,67.6,8.0,38.5,46.5,23.5,19.5,4.5,5.0,19.5,9.0
4 Days Rest ,1,48.0,102.0,1,0,1.000,41.0,96.0,42.7,9.0,26.0,34.6,11.0,12.0,91.7,9.0,38.0,47.0,24.0,9.0,14.0,3.0,21.0,12.0
